number,title,avg_rating,customer,,
43,The Night Before Christmas and More Christmas Stories! (Scholastic Video Collection),5,AUI5IGVR3BUCU,,
44,Eric Clapton: 24 Nights,4,ATVPDKIKX0DER,,
45,Chicka Chicka Boom Boom and Lots More Learning Fun! (Scholastic Video Collection),4.5,ATVPDKIKX0DER,,
46,Marked for Death,4,A30CHSBLIOI7TZ,,
47,Peep Show,5,ATVPDKIKX0DER,,
48,Rhapsody,1.5,ATVPDKIKX0DER,,
49,Stealing Harvard,3.5,ATVPDKIKX0DER,,
50,Get on the Bus,4,A3S73MM2MXQPIO,,
51,Forgotten Silver,4.5,A1JHPK5X1RRKM2,,
52,Major League Baseball - All Century Team,4,A1VKZTF59OF6T0,,
53,Batteries Not Included,4.5,ATVPDKIKX0DER,,
54,Ocean's Eleven (Widescreen Edition),4,ATVPDKIKX0DER,,
55,Ocean's Eleven (Full Screen Edition),4,A3IN57X8YR9UPM,,
56,Tom Clancy's Power Plays : Politika (Tom Clancy's Power Plays (Audio)),2.5,ATVPDKIKX0DER,,
57,Tart,3,ATVPDKIKX0DER,,
58,The Matrix Revisited,4.5,ATVPDKIKX0DER,,
59,The Enemy,4,A1B7CQUD6G8PBF,,
60,Genesis - The Genesis Songbook,3.5,ATVPDKIKX0DER,,
61,Music in High Places - Brian McKnight (Live from Brazil),4.5,A30ZKB43CIOIKQ,,
62,Cartoon Crack-Ups,4.5,ATVPDKIKX0DER,,
63,She Creature,4,ATVPDKIKX0DER,,
64,Sade - Lovers Live,4.5,A286VJCIRFVPR8,,
65,"Dragon Tales - Yes, We Can",4,ATVPDKIKX0DER,,
66,3:10 to Yuma,4.5,ATVPDKIKX0DER,,
67,"Vangelis: Mythodea - Music for the NASA Mission, 2001 Mars Odyssey",4.5,ATVPDKIKX0DER,,
68,Drunken Master,4,ATVPDKIKX0DER,,
69,Breakout,4,ATVPDKIKX0DER,,
70,Bela Fleck and the Flecktones - Live at the Quick,5,ATVPDKIKX0DER,,
71,Flint the Time Detective - The Power of Good (Vol. 2),3.5,A3NARL6F718A4V,,
72,Andrew Dice Clay: Over Here Now,3,A2YH0LLXBDBDC4,,
73,The Amazing Adventure,3.5,AGJVV7UDQ50P0,,
74,Cheaters: Best of Cheaters - Season 1,4,A1BYT2M9BZZ1UF,,
75,The Hunchback of Notre Dame,4,A2NRHK33YLESTE,,
76,My Favorite Brunette,3,A1JTP6MIJ4ME6U,,
77,Scarlet Street,3.5,A3PCE8W4PNVU5O,,
78,Metropolis,2.5,A38ZDCZGENGM1O,,
79,Best of Dancesport: Best of Ballroom,2,A21A731W34WB39,,
80,Little Odessa,3.5,A2JTCIWD50EG4B,,
81,Operation Enduring Freedom: America Fights Back,2.5,A2ZGQ0XP2CMJWP,,
82,Stork Club,3.5,AT1AMO3CG65M2,,
83,Three Came Home,4.5,A3LEY83JE1IWKO,,
84,Dr. Kildare's Strange Case,3,A3AHJFKCW9OO6Y,,
85,Gulliver's Travel,4,A36BY7TWVMLRWM,,
86,Snake in the Eagle's Shadow,4,A1X7JX5NR329T4,,
87,Breaking Up,2.5,AMU32VSBO54W1,,
88,Yoga Zone - Flexibility and Tone (Beginners),4,AQD717ZSX4GOK,,
89,Death Kick/ Street Fighter,1,A2ZB9T18NI9G7G,,
90,Laura,5,AI1D82FR3TP33,,
91,Magnificent Bodyguards,2.5,AZN9SW5QAIR7C,,
92,No Man's Land,5,A31IHSADIIBY1T,,
93,Solaris,3,A2B7VCMPF99WFG,,
94,Mi Querido Viejo,5,A1S5B32WYMEE44,,
95,Yoga Zone - Power Yoga for Strength and Endurance,4.5,A30FTDHX23VCAE,,
96,The Learning Curve,3.5,A35NNTCEI8T8XQ,,
97,Jamaica Me S'wet,5,A2NOMFG0USAHJO,,
98,Yoga Zone - Flexibility and Stress Release,4,A12SX8D30RZ6QF,,
